ID_Mahasiswa,Pendapatan_Ortu,Tanggungan_Keluarga,Pekerjaan_Ortu,Kepemilikan_Rumah,Tagihan_Listrik,Kendaraan,Nilai_IPK,Beasiswa,Kategori_UKT
M0295,15150271,5,PNS,Kontrak,551110,Mobil,3.33,Ya,UKT 6
M0296,12740032,3,Wiraswasta,Menumpang,302557,Mobil,2.21,Tidak,UKT 6
M0297,19492383,2,Petani,Kontrak,257596,Motor,2.02,Tidak,UKT 6
M0298,4386402,4,Petani,Milik Sendiri,680270,Mobil,2.28,Tidak,UKT 2
M0299,9578552,1,PNS,Milik Sendiri,278129,Tidak Ada,3.43,Tidak,UKT 5
M0300,17965321,4,PNS,Kontrak,378953,Motor,3.95,Tidak,UKT 6
M0301,2489173,5,Wiraswasta,Milik Sendiri,667367,Motor,3.97,Tidak,UKT 1
M0302,3580761,6,PNS,Kontrak,105805,Tidak Ada,2.99,Ya,UKT 1
M0303,1914466,1,PNS,Menumpang,212421,Mobil,3.74,Ya,UKT 1
M0304,945101,5,PNS,Milik Sendiri,257849,Motor+Mobil,3.47,Tidak,UKT 1
M0305,15216695,2,Tidak Bekerja,Rumah Dinas,288483,Motor,3.0,Ya,UKT 6
M0306,18382750,1,Wiraswasta,Menumpang,442551,Mobil,3.15,Tidak,UKT 6
M0307,12116410,5,Swasta,Menumpang,94041,Tidak Ada,2.27,Tidak,UKT 5
M0308,10692257,2,Swasta,Menumpang,320146,Motor,3.88,Tidak,UKT 5
M0309,10113273,4,Swasta,Kontrak,381927,Motor,2.7,Tidak,UKT 5
M0310,7815360,6,Wiraswasta,Menumpang,157524,Motor,2.89,Tidak,UKT 3
M0311,16858792,2,Petani,Rumah Dinas,268306,Motor+Mobil,3.34,Ya,UKT 6
M0312,998863,3,PNS,Milik Sendiri,594026,Mobil,2.67,Tidak,UKT 1
M0313,19953404,2,PNS,Milik Sendiri,163776,Mobil,2.51,Tidak,UKT 6
M0314,9685687,2,PNS,Kontrak,230494,Motor,3.26,Tidak,UKT 5
M0315,15400027,6,Petani,Milik Sendiri,242971,Motor+Mobil,2.05,Tidak,UKT 6
M0316,15660825,3,Wiraswasta,Kontrak,327785,Tidak Ada,3.44,Tidak,UKT 6
M0317,7012440,5,Swasta,Kontrak,391678,Mobil,3.03,Tidak,UKT 3
M0318,12931395,5,PNS,Milik Sendiri,318449,Motor,3.21,Tidak,UKT 6
M0319,6599628,2,PNS,Kontrak,330926,Tidak Ada,3.26,Ya,UKT 3
M0320,7055968,3,Tidak Bekerja,Rumah Dinas,390401,Motor,3.05,Tidak,UKT 3
M0321,3199015,3,Swasta,Milik Sendiri,286371,Motor,3.17,Tidak,UKT 1
M0322,17222573,6,Wiraswasta,Milik Sendiri,652251,Motor,3.37,Tidak,UKT 6
M0323,16840850,4,Petani,Milik Sendiri,696275,Motor,3.51,Tidak,UKT 6
M0324,9337590,5,Swasta,Milik Sendiri,174591,Tidak Ada,3.45,Tidak,UKT 4
M0325,18449838,6,Swasta,Menumpang,642054,Tidak Ada,3.74,Tidak,UKT 6
M0326,3003771,1,PNS,Milik Sendiri,580799,Tidak Ada,2.38,Tidak,UKT 2
M0327,3677825,5,Petani,Kontrak,689104,Motor,2.8,Ya,UKT 1
M0328,1496161,6,Wiraswasta,Milik Sendiri,550981,Tidak Ada,3.9,Tidak,UKT 1
M0329,4683839,5,Petani,Milik Sendiri,316909,Motor,2.79,Tidak,UKT 2
M0330,1166326,4,Petani,Rumah Dinas,201426,Motor,2.25,Tidak,UKT 1
M0331,1149150,1,PNS,Kontrak,336073,Motor+Mobil,3.05,Tidak,UKT 1
M0332,618834,4,Tidak Bekerja,Milik Sendiri,209892,Mobil,2.22,Tidak,UKT 1
M0333,15885150,1,Wiraswasta,Milik Sendiri,161576,Motor,2.41,Ya,UKT 6
M0334,13367733,2,Swasta,Milik Sendiri,472739,Mobil,4.0,Tidak,UKT 6
M0335,4922201,6,Tidak Bekerja,Milik Sendiri,645376,Mobil,3.08,Tidak,UKT 1
M0336,1579600,1,Petani,Kontrak,127525,Motor+Mobil,2.57,Ya,UKT 1
M0337,10327141,4,Petani,Milik Sendiri,63780,Motor,3.99,Tidak,UKT 5
M0338,4003157,5,Wiraswasta,Milik Sendiri,318733,Tidak Ada,3.93,Tidak,UKT 1
M0339,9349851,1,Wiraswasta,Milik Sendiri,494709,Motor,2.88,Tidak,UKT 5
M0340,19262804,6,Petani,Menumpang,154188,Motor,2.52,Ya,UKT 6
M0341,19029899,1,PNS,Menumpang,667614,Motor,3.68,Tidak,UKT 6
M0342,18281862,3,Swasta,Milik Sendiri,640073,Motor,3.43,Tidak,UKT 6
M0343,949395,5,Tidak Bekerja,Rumah Dinas,593597,Mobil,3.37,Ya,UKT 1
M0344,7254350,6,Swasta,Milik Sendiri,628483,Motor+Mobil,3.79,Tidak,UKT 3
M0345,18537602,6,Swasta,Milik Sendiri,75901,Motor,3.38,Tidak,UKT 6
M0346,3879569,2,Swasta,Rumah Dinas,474724,Tidak Ada,2.57,Tidak,UKT 2
M0347,3400603,4,Swasta,Menumpang,517927,Tidak Ada,3.39,Tidak,UKT 1
M0348,16209289,2,Petani,Menumpang,599752,Mobil,2.61,Tidak,UKT 6
M0349,11855805,6,Tidak Bekerja,Kontrak,328404,Motor,3.52,Ya,UKT 4
M0350,9111474,5,Swasta,Milik Sendiri,699285,Motor,3.24,Ya,UKT 3
M0351,2146711,1,PNS,Rumah Dinas,347584,Motor,2.15,Tidak,UKT 1
M0352,16963634,1,PNS,Milik Sendiri,407226,Motor,3.03,Tidak,UKT 6
M0353,6819707,5,Wiraswasta,Kontrak,630971,Motor,2.69,Tidak,UKT 3
M0354,8467801,6,Petani,Milik Sendiri,436350,Motor,2.66,Tidak,UKT 3
M0355,1923286,1,Swasta,Kontrak,222502,Mobil,3.2,Tidak,UKT 1
M0356,4195961,1,Wiraswasta,Milik Sendiri,557994,Motor+Mobil,2.64,Tidak,UKT 2
M0357,8717316,1,Wiraswasta,Milik Sendiri,652772,Motor+Mobil,3.55,Tidak,UKT 5
M0358,7848340,4,Wiraswasta,Menumpang,256486,Motor+Mobil,2.14,Ya,UKT 3
M0359,12302429,4,Tidak Bekerja,Milik Sendiri,499777,Motor,3.32,Tidak,UKT 6
M0360,683062,3,Swasta,Kontrak,191449,Motor,3.62,Tidak,UKT 1
M0361,3341992,2,Wiraswasta,Milik Sendiri,627880,Mobil,3.35,Tidak,UKT 2
M0362,4794539,5,Swasta,Milik Sendiri,188419,Motor+Mobil,2.99,Tidak,UKT 2
M0363,12109076,5,Wiraswasta,Milik Sendiri,345920,Tidak Ada,3.9,Tidak,UKT 5
M0364,15558560,5,Wiraswasta,Milik Sendiri,630086,Motor,2.6,Tidak,UKT 6
M0365,6595929,3,Wiraswasta,Menumpang,185370,Tidak Ada,2.04,Ya,UKT 3
M0366,5444505,4,Petani,Milik Sendiri,498377,Motor,2.86,Tidak,UKT 2
M0367,1303328,6,PNS,Menumpang,541830,Motor,2.07,Tidak,UKT 1
M0368,1543233,6,Petani,Kontrak,293767,Motor,3.91,Tidak,UKT 1
M0369,10600349,3,Tidak Bekerja,Milik Sendiri,595210,Tidak Ada,2.42,Tidak,UKT 5
M0370,1029525,6,Tidak Bekerja,Kontrak,477244,Motor,3.58,Tidak,UKT 1
M0371,16212815,5,PNS,Kontrak,554677,Mobil,3.55,Ya,UKT 6
M0372,14151544,2,PNS,Rumah Dinas,463532,Motor,2.44,Tidak,UKT 6
M0373,17453831,1,PNS,Milik Sendiri,460184,Motor,3.24,Tidak,UKT 6
M0374,7974447,4,Wiraswasta,Milik Sendiri,568895,Motor,2.1,Tidak,UKT 3
M0375,5101020,4,Wiraswasta,Menumpang,276817,Mobil,2.97,Ya,UKT 2
M0376,15626502,3,Swasta,Menumpang,467216,Tidak Ada,2.03,Tidak,UKT 6
M0377,4199391,4,Petani,Menumpang,52866,Motor+Mobil,3.84,Tidak,UKT 2
M0378,10574901,5,Wiraswasta,Milik Sendiri,162669,Motor,3.95,Tidak,UKT 5
M0379,15432828,6,Wiraswasta,Rumah Dinas,330539,Motor+Mobil,2.44,Tidak,UKT 6
M0380,4112610,5,Petani,Milik Sendiri,316150,Motor+Mobil,2.42,Tidak,UKT 1
M0381,15692217,3,Petani,Milik Sendiri,493258,Motor,3.51,Ya,UKT 6
M0382,19441583,5,Petani,Milik Sendiri,539415,Tidak Ada,2.51,Tidak,UKT 6
M0383,10792658,6,Swasta,Kontrak,407820,Motor,3.79,Tidak,UKT 4
M0384,644356,2,Petani,Milik Sendiri,696012,Motor,3.15,Tidak,UKT 1
M0385,13286773,3,Petani,Milik Sendiri,637189,Tidak Ada,2.7,Tidak,UKT 6
M0386,2248014,2,Wiraswasta,Menumpang,538029,Tidak Ada,3.67,Tidak,UKT 1
M0387,7656720,1,Petani,Milik Sendiri,691480,Motor,2.99,Tidak,UKT 4
M0388,17242125,2,Wiraswasta,Milik Sendiri,222646,Tidak Ada,3.82,Tidak,UKT 6
M0389,13161693,1,PNS,Milik Sendiri,343561,Tidak Ada,3.86,Tidak,UKT 6
M0390,2788627,1,Swasta,Menumpang,400164,Motor,2.33,Tidak,UKT 2
M0391,15340260,2,PNS,Kontrak,395783,Tidak Ada,2.0,Tidak,UKT 6
M0392,7097519,3,Swasta,Milik Sendiri,508222,Motor,3.97,Tidak,UKT 3
M0393,18041337,6,Wiraswasta,Rumah Dinas,144881,Motor,3.81,Ya,UKT 6
M0394,10058356,5,Tidak Bekerja,Rumah Dinas,292934,Motor,2.11,Ya,UKT 4
M0395,11470723,5,PNS,Milik Sendiri,182659,Mobil,3.67,Ya,UKT 4
M0396,6198848,6,Swasta,Kontrak,695976,Motor,2.92,Tidak,UKT 2
M0397,16547357,1,Wiraswasta,Rumah Dinas,551323,Motor,2.52,Tidak,UKT 6
M0398,18384893,1,Swasta,Kontrak,689872,Motor,3.76,Tidak,UKT 6
M0399,6238852,3,Petani,Milik Sendiri,229689,Mobil,2.39,Tidak,UKT 3
M0400,788790,4,Wiraswasta,Menumpang,384517,Mobil,3.89,Ya,UKT 1
M0401,5584921,2,Petani,Kontrak,215289,Mobil,2.41,Ya,UKT 2
M0402,16963605,1,PNS,Milik Sendiri,333028,Motor,3.23,Tidak,UKT 6
M0403,10297444,5,Swasta,Milik Sendiri,317598,Tidak Ada,2.45,Tidak,UKT 4
M0404,17112451,3,Wiraswasta,Milik Sendiri,649248,Motor,3.09,Tidak,UKT 6
M0405,13733331,2,Petani,Milik Sendiri,152421,Tidak Ada,3.37,Ya,UKT 6
M0406,4193305,3,PNS,Rumah Dinas,288245,Motor+Mobil,2.38,Ya,UKT 1
M0407,16601010,2,Wiraswasta,Milik Sendiri,617906,Motor,3.04,Ya,UKT 6
M0408,13970137,2,PNS,Milik Sendiri,97111,Mobil,2.94,Ya,UKT 6
M0409,4966271,6,Wiraswasta,Kontrak,482829,Motor,2.14,Tidak,UKT 1
M0410,1852695,1,Swasta,Milik Sendiri,266750,Mobil,3.64,Ya,UKT 1
M0411,10995300,3,Tidak Bekerja,Menumpang,170592,Motor,2.67,Tidak,UKT 5
M0412,18866444,3,Swasta,Milik Sendiri,284000,Tidak Ada,3.15,Tidak,UKT 6
M0413,1600567,6,Swasta,Milik Sendiri,372137,Motor,3.03,Tidak,UKT 1
M0414,8206358,5,PNS,Milik Sendiri,178652,Motor,3.03,Tidak,UKT 3
M0415,13701904,5,Swasta,Milik Sendiri,558069,Motor,2.21,Tidak,UKT 6
M0416,549115,1,Wiraswasta,Milik Sendiri,652960,Mobil,2.85,Ya,UKT 1
M0417,15923647,1,Tidak Bekerja,Kontrak,267516,Tidak Ada,2.9,Tidak,UKT 6
M0418,12226298,4,Swasta,Menumpang,429653,Motor,3.47,Tidak,UKT 6
M0419,17998963,6,Swasta,Milik Sendiri,111602,Motor,3.68,Ya,UKT 6
M0420,13619138,5,Wiraswasta,Kontrak,253117,Motor,3.09,Tidak,UKT 6
M0421,11938459,2,Wiraswasta,Kontrak,287069,Mobil,2.17,Tidak,UKT 6
M0422,15533888,3,Petani,Rumah Dinas,616510,Mobil,2.47,Tidak,UKT 6
M0423,1904330,1,Swasta,Milik Sendiri,291084,Mobil,2.33,Ya,UKT 1
M0424,17528708,3,Swasta,Milik Sendiri,292318,Mobil,2.25,Ya,UKT 6
M0425,4535851,3,Petani,Milik Sendiri,639621,Mobil,2.73,Tidak,UKT 2
M0426,14631010,4,PNS,Kontrak,434794,Motor,2.46,Ya,UKT 6
M0427,991072,5,Petani,Rumah Dinas,99420,Mobil,2.44,Tidak,UKT 1
M0428,1586880,1,Swasta,Milik Sendiri,649792,Motor,2.11,Tidak,UKT 1
M0429,13587911,3,Wiraswasta,Milik Sendiri,576750,Motor,2.04,Ya,UKT 6
M0430,15787338,1,PNS,Menumpang,321604,Tidak Ada,2.21,Tidak,UKT 6
M0431,2555723,2,Petani,Rumah Dinas,673607,Mobil,2.34,Tidak,UKT 1
M0432,2748988,4,Swasta,Menumpang,172672,Mobil,2.86,Ya,UKT 1
M0433,16183595,2,Petani,Rumah Dinas,509158,Motor,3.02,Tidak,UKT 6
M0434,10202701,1,PNS,Milik Sendiri,385064,Mobil,2.28,Tidak,UKT 5
M0435,11653281,1,Petani,Kontrak,563953,Motor+Mobil,2.85,Tidak,UKT 6
M0436,3476242,5,Petani,Kontrak,467582,Tidak Ada,2.68,Tidak,UKT 1
M0437,5080081,3,Petani,Milik Sendiri,94036,Motor,2.37,Tidak,UKT 2
M0438,14756162,3,Petani,Kontrak,198441,Mobil,2.01,Tidak,UKT 6
M0439,3148790,2,Petani,Kontrak,192867,Motor,2.93,Tidak,UKT 2
M0440,4263024,4,Wiraswasta,Milik Sendiri,120021,Motor,3.37,Tidak,UKT 2
M0441,11598716,6,Swasta,Rumah Dinas,419349,Tidak Ada,2.45,Tidak,UKT 5
M0442,5333177,3,Wiraswasta,Kontrak,511370,Motor,2.26,Tidak,UKT 2
M0443,8772841,5,Swasta,Menumpang,472641,Mobil,3.77,Ya,UKT 3
M0444,8954561,2,PNS,Milik Sendiri,387283,Motor,2.55,Tidak,UKT 4
M0445,12878226,2,PNS,Milik Sendiri,579656,Mobil,2.45,Tidak,UKT 6
M0446,3097480,6,Swasta,Kontrak,633117,Mobil,3.71,Ya,UKT 1
M0447,17035430,5,Wiraswasta,Milik Sendiri,441180,Mobil,3.63,Tidak,UKT 6
M0448,4697571,4,Wiraswasta,Kontrak,503510,Motor,2.9,Ya,UKT 1
M0449,6618900,5,Wiraswasta,Rumah Dinas,603515,Tidak Ada,2.98,Ya,UKT 2
M0450,17434380,4,Petani,Milik Sendiri,683718,Motor,2.44,Tidak,UKT 6
M0451,11117244,5,Swasta,Kontrak,450782,Tidak Ada,2.16,Tidak,UKT 5
M0452,1031831,5,PNS,Kontrak,62306,Mobil,3.15,Ya,UKT 1
M0453,3489475,1,Swasta,Milik Sendiri,628110,Motor,2.2,Tidak,UKT 2
M0454,17179640,2,Swasta,Menumpang,74042,Motor,2.9,Tidak,UKT 6
M0455,3869720,5,PNS,Rumah Dinas,458302,Motor,3.88,Ya,UKT 1
M0456,5211075,6,Swasta,Kontrak,663712,Mobil,3.91,Tidak,UKT 2
M0457,7354500,5,Petani,Kontrak,232690,Mobil,2.48,Tidak,UKT 3
M0458,3140328,3,Wiraswasta,Milik Sendiri,199395,Motor,3.25,Tidak,UKT 1
M0459,9722335,2,Tidak Bekerja,Menumpang,592307,Mobil,2.95,Tidak,UKT 5
M0460,12052291,3,Tidak Bekerja,Kontrak,615151,Motor,3.75,Tidak,UKT 6
M0461,570640,2,Petani,Kontrak,685311,Motor,2.54,Tidak,UKT 1
M0462,13279494,3,Swasta,Menumpang,359143,Mobil,2.01,Tidak,UKT 6
M0463,10889599,5,Petani,Milik Sendiri,112780,Motor,2.33,Tidak,UKT 5
M0464,5094877,5,Wiraswasta,Rumah Dinas,438422,Motor+Mobil,2.7,Tidak,UKT 2
M0465,18632747,1,PNS,Milik Sendiri,493441,Tidak Ada,2.63,Ya,UKT 6
M0466,1175510,6,Swasta,Milik Sendiri,150706,Tidak Ada,3.58,Tidak,UKT 1
M0467,4241196,3,Wiraswasta,Milik Sendiri,172019,Motor+Mobil,3.36,Tidak,UKT 2
M0468,17083522,4,Swasta,Menumpang,421852,Tidak Ada,2.6,Ya,UKT 6
M0469,7206024,1,Petani,Menumpang,229001,Motor+Mobil,2.92,Ya,UKT 3
M0470,12220477,3,Petani,Kontrak,150260,Motor+Mobil,2.19,Tidak,UKT 6
M0471,18175536,3,PNS,Kontrak,220863,Tidak Ada,3.8,Tidak,UKT 6
M0472,13717648,1,Swasta,Kontrak,643731,Motor,3.87,Ya,UKT 6
M0473,19284851,5,Swasta,Menumpang,369674,Tidak Ada,3.96,Tidak,UKT 6
M0474,3764908,3,PNS,Milik Sendiri,490015,Motor,3.74,Tidak,UKT 2
M0475,13492907,5,PNS,Milik Sendiri,146143,Tidak Ada,2.35,Tidak,UKT 6
M0476,15073458,1,Wiraswasta,Milik Sendiri,194771,Motor,2.09,Tidak,UKT 6
M0477,14856744,5,Swasta,Rumah Dinas,556713,Motor,3.16,Tidak,UKT 6
M0478,16287803,2,Petani,Kontrak,161362,Motor,3.83,Tidak,UKT 6
M0479,13923442,4,Swasta,Milik Sendiri,340951,Motor+Mobil,2.35,Tidak,UKT 6
M0480,4099865,3,Tidak Bekerja,Milik Sendiri,226298,Mobil,2.01,Tidak,UKT 2
M0481,13956244,6,Swasta,Rumah Dinas,633838,Mobil,3.61,Tidak,UKT 6
M0482,18316674,4,Swasta,Milik Sendiri,523288,Motor,2.15,Tidak,UKT 6
M0483,4272811,5,Wiraswasta,Kontrak,315702,Mobil,2.83,Tidak,UKT 1
M0484,2817336,3,Wiraswasta,Menumpang,362257,Motor,3.36,Ya,UKT 1
M0485,3263642,5,PNS,Milik Sendiri,108219,Mobil,2.47,Ya,UKT 1
M0486,8189684,2,Wiraswasta,Milik Sendiri,286495,Motor+Mobil,2.17,Tidak,UKT 4
M0487,10698499,1,Swasta,Kontrak,627506,Motor,3.54,Tidak,UKT 6
M0488,4288340,3,Swasta,Rumah Dinas,331373,Motor,3.26,Tidak,UKT 2
M0489,11308470,2,PNS,Kontrak,602165,Mobil,3.98,Tidak,UKT 6
M0490,697775,2,PNS,Menumpang,239073,Motor+Mobil,2.69,Ya,UKT 1
M0491,2886488,3,Wiraswasta,Milik Sendiri,409281,Mobil,2.12,Ya,UKT 1
M0492,18064710,5,Swasta,Kontrak,197878,Motor,3.47,Ya,UKT 6
M0493,5832660,6,Swasta,Kontrak,269707,Motor,3.04,Tidak,UKT 2
M0494,10089801,2,Wiraswasta,Menumpang,291249,Tidak Ada,2.43,Tidak,UKT 5
M0495,12831942,4,Wiraswasta,Milik Sendiri,87034,Mobil,3.56,Tidak,UKT 6
M0496,16579245,2,PNS,Rumah Dinas,221389,Tidak Ada,2.41,Tidak,UKT 6
M0497,11898366,6,Petani,Kontrak,462310,Mobil,2.52,Tidak,UKT 5
M0498,5583769,5,PNS,Milik Sendiri,60589,Tidak Ada,2.19,Tidak,UKT 2
M0499,17810852,5,Wiraswasta,Milik Sendiri,107221,Tidak Ada,2.8,Tidak,UKT 6
M0500,11926978,4,Petani,Menumpang,305927,Motor,2.84,Tidak,UKT 5
M0501,12124266,2,Tidak Bekerja,Milik Sendiri,410444,Mobil,3.03,Tidak,UKT 6
M0502,10664811,5,PNS,Milik Sendiri,691517,Tidak Ada,3.42,Ya,UKT 4
M0503,2776360,6,PNS,Milik Sendiri,626515,Motor,3.81,Ya,UKT 1
M0504,16383337,3,Swasta,Menumpang,315308,Motor,2.28,Ya,UKT 6
M0505,4908249,1,Swasta,Kontrak,143078,Motor,2.11,Tidak,UKT 3
M0506,4926219,1,Swasta,Rumah Dinas,624887,Tidak Ada,2.04,Tidak,UKT 3
M0507,11423237,1,Tidak Bekerja,Milik Sendiri,514761,Mobil,2.29,Tidak,UKT 6
M0508,18609613,2,Swasta,Kontrak,559668,Motor,3.32,Ya,UKT 6
M0509,16934343,4,Swasta,Kontrak,239651,Tidak Ada,3.45,Tidak,UKT 6
M0510,11024841,5,Wiraswasta,Rumah Dinas,550741,Mobil,3.57,Tidak,UKT 5
M0511,7146705,3,Swasta,Menumpang,118207,Motor+Mobil,2.49,Tidak,UKT 3
M0512,5962810,6,Wiraswasta,Milik Sendiri,384199,Motor,2.61,Tidak,UKT 2
M0513,13888409,3,PNS,Kontrak,390414,Motor,2.97,Tidak,UKT 6
M0514,14346020,6,Swasta,Milik Sendiri,161426,Mobil,2.13,Tidak,UKT 6
M0515,10226290,2,PNS,Kontrak,561081,Motor+Mobil,3.22,Tidak,UKT 5
M0516,14159783,1,PNS,Milik Sendiri,184794,Mobil,3.97,Tidak,UKT 6
M0517,16664204,2,Tidak Bekerja,Milik Sendiri,407776,Motor,2.72,Ya,UKT 6
M0518,15337568,4,PNS,Milik Sendiri,595726,Motor,3.51,Ya,UKT 6
M0519,1786643,4,Petani,Kontrak,633107,Mobil,3.0,Tidak,UKT 1
M0520,10422192,6,Swasta,Milik Sendiri,93856,Tidak Ada,2.26,Ya,UKT 4
M0521,8815390,5,Swasta,Kontrak,476792,Motor,3.16,Tidak,UKT 4
M0522,6700646,5,Wiraswasta,Milik Sendiri,492244,Mobil,2.6,Tidak,UKT 3
M0523,7483896,6,PNS,Milik Sendiri,109807,Motor,2.07,Tidak,UKT 3
M0524,15009187,4,Petani,Rumah Dinas,540999,Motor,3.27,Tidak,UKT 6
M0525,5909861,4,Tidak Bekerja,Milik Sendiri,93461,Motor,3.72,Tidak,UKT 2
M0526,16431836,4,Petani,Milik Sendiri,667762,Tidak Ada,2.69,Tidak,UKT 6
M0527,13331595,2,Tidak Bekerja,Kontrak,395280,Motor,2.78,Tidak,UKT 6
M0528,16463317,4,PNS,Milik Sendiri,332579,Mobil,3.78,Tidak,UKT 6
M0529,8915398,3,Swasta,Milik Sendiri,457407,Motor,3.63,Ya,UKT 4
M0530,10580346,1,Swasta,Milik Sendiri,304730,Tidak Ada,3.43,Tidak,UKT 6
M0531,948345,4,Wiraswasta,Menumpang,296732,Motor+Mobil,2.5,Tidak,UKT 1
M0532,9637682,6,Tidak Bekerja,Kontrak,470602,Motor,3.82,Tidak,UKT 4
M0533,8327494,1,Swasta,Kontrak,629074,Motor,2.31,Tidak,UKT 4
M0534,2379490,2,Petani,Kontrak,325848,Motor+Mobil,3.25,Tidak,UKT 1
M0535,16314828,6,PNS,Milik Sendiri,106635,Mobil,2.06,Tidak,UKT 6
M0536,15709100,1,Petani,Milik Sendiri,402854,Motor,3.29,Tidak,UKT 6
M0537,5484445,6,Swasta,Rumah Dinas,295984,Mobil,2.55,Tidak,UKT 2
M0538,7439705,2,Tidak Bekerja,Milik Sendiri,375137,Tidak Ada,2.9,Tidak,UKT 4
M0539,7502587,3,Petani,Milik Sendiri,162752,Mobil,2.69,Tidak,UKT 4
M0540,7242471,2,Swasta,Milik Sendiri,261194,Motor,2.35,Tidak,UKT 4
M0541,1954908,2,PNS,Milik Sendiri,278584,Mobil,3.24,Tidak,UKT 1
M0542,11142302,6,PNS,Menumpang,468632,Motor,3.76,Tidak,UKT 5
M0543,3819144,5,Swasta,Milik Sendiri,182886,Motor,3.92,Tidak,UKT 1
M0544,9193670,4,Swasta,Kontrak,128537,Motor,2.38,Tidak,UKT 4
M0545,17067296,4,Wiraswasta,Milik Sendiri,135166,Motor,3.43,Tidak,UKT 6
M0546,6306466,3,Petani,Menumpang,425854,Mobil,3.33,Tidak,UKT 3
M0547,13949563,3,Petani,Milik Sendiri,347843,Motor,2.69,Ya,UKT 6
M0548,5804509,4,PNS,Milik Sendiri,358479,Motor,2.04,Tidak,UKT 2
M0549,8168216,5,Wiraswasta,Kontrak,347883,Motor,3.38,Tidak,UKT 3
M0550,5449499,4,Wiraswasta,Kontrak,609073,Motor,3.89,Tidak,UKT 2
M0551,19664528,5,PNS,Milik Sendiri,213052,Mobil,3.26,Tidak,UKT 6
M0552,6562903,3,Wiraswasta,Milik Sendiri,537918,Mobil,2.87,Tidak,UKT 3
M0553,10314149,1,Petani,Milik Sendiri,444825,Motor,3.05,Ya,UKT 5
M0554,19148619,6,PNS,Milik Sendiri,116253,Motor+Mobil,2.4,Tidak,UKT 6
M0555,6247372,3,Swasta,Milik Sendiri,528697,Mobil,3.5,Tidak,UKT 3
M0556,5348287,3,Swasta,Milik Sendiri,665416,Motor,3.49,Ya,UKT 2
M0557,6158796,2,PNS,Milik Sendiri,211081,Motor,2.29,Ya,UKT 3
M0558,18098268,2,Tidak Bekerja,Milik Sendiri,685254,Motor+Mobil,3.76,Tidak,UKT 6
M0559,10695758,2,Wiraswasta,Kontrak,187854,Motor,2.54,Tidak,UKT 5
M0560,2725300,6,Petani,Menumpang,673640,Mobil,3.96,Tidak,UKT 1
M0561,19132783,2,Swasta,Kontrak,469149,Motor,2.77,Ya,UKT 6
M0562,18812053,5,Swasta,Milik Sendiri,682585,Motor,2.36,Tidak,UKT 6
M0563,12389876,4,Petani,Milik Sendiri,612634,Motor,2.7,Tidak,UKT 6
M0564,3838442,1,Petani,Menumpang,162138,Motor,2.88,Tidak,UKT 2
M0565,15463940,3,PNS,Milik Sendiri,362916,Motor+Mobil,2.14,Tidak,UKT 6
M0566,13342659,5,Petani,Milik Sendiri,90149,Motor,3.16,Tidak,UKT 6
M0567,923570,1,Wiraswasta,Kontrak,398844,Motor,3.2,Tidak,UKT 1
M0568,2873139,5,Swasta,Kontrak,528928,Motor+Mobil,3.48,Tidak,UKT 1
M0569,9746766,5,PNS,Kontrak,178447,Motor,2.06,Ya,UKT 4
M0570,19392008,3,Wiraswasta,Milik Sendiri,511693,Motor,3.08,Tidak,UKT 6
M0571,2373421,4,Swasta,Milik Sendiri,55695,Mobil,2.11,Tidak,UKT 1
M0572,6581950,2,Swasta,Menumpang,613457,Mobil,3.4,Ya,UKT 3
M0573,16150304,6,PNS,Milik Sendiri,228296,Tidak Ada,2.11,Ya,UKT 6
M0574,11486868,4,Swasta,Kontrak,416645,Motor,3.82,Ya,UKT 5
M0575,7425877,6,Wiraswasta,Kontrak,372554,Motor,3.4,Tidak,UKT 3
M0576,6467106,3,Petani,Kontrak,415898,Motor,3.01,Tidak,UKT 3
M0577,12184495,3,Swasta,Milik Sendiri,403039,Motor,2.88,Ya,UKT 5
M0578,12206838,3,Wiraswasta,Milik Sendiri,362849,Motor,2.26,Tidak,UKT 6
M0579,5618922,1,Wiraswasta,Kontrak,242994,Tidak Ada,2.58,Ya,UKT 3
M0580,14142511,6,Wiraswasta,Menumpang,427844,Motor,3.74,Tidak,UKT 6
M0581,17236613,4,Swasta,Menumpang,51881,Tidak Ada,3.81,Tidak,UKT 6
M0582,11373803,4,Swasta,Milik Sendiri,359509,Motor,2.0,Tidak,UKT 5
M0583,13149115,5,Tidak Bekerja,Milik Sendiri,571144,Mobil,3.19,Tidak,UKT 6
M0584,17437991,5,Wiraswasta,Menumpang,129211,Mobil,3.44,Tidak,UKT 6
M0585,3167867,5,PNS,Kontrak,206078,Motor,3.24,Tidak,UKT 1
M0586,12358009,3,PNS,Menumpang,353342,Tidak Ada,2.16,Tidak,UKT 6
M0587,8186841,4,Swasta,Milik Sendiri,475659,Motor,2.44,Tidak,UKT 4
M0588,12664411,6,Tidak Bekerja,Kontrak,277203,Motor,2.5,Ya,UKT 5
M0589,1844027,3,Petani,Kontrak,89553,Motor,3.66,Ya,UKT 1
M0590,4666500,1,Swasta,Kontrak,557353,Motor,2.93,Tidak,UKT 3
M0591,9679875,5,PNS,Milik Sendiri,448138,Motor,2.97,Tidak,UKT 4
M0592,8384479,3,Petani,Milik Sendiri,82766,Mobil,3.87,Tidak,UKT 4
